ori,ori,trip,f_size,cluster,mrt_km_o,cycle_km_o,smooth_entro_o,ori_far_pc1,ori_far_pc2
1695,1695,400,69.18181818,2,1.28,0.0,0.5343107810000001,-1.0634363472102724,-0.0892681160311102
1697,1697,26,2.954545455,0,1.8,0.18,0.250223634,-0.24906723219098595,-0.030381531803713713
1698,1698,75,17.09090909,1,1.02,0.32,0.163551788,-0.5131074201121548,-0.04947413303168297
1699,1699,77,13.5,1,0.66,0.4,0.468170404,-1.1928092971805755,0.2373949670175175
1700,1700,165,27.59090909,1,1.1,0.41,0.2277763125,-1.4616222619106956,-0.1180607212167993
1701,1701,113,27.81818182,1,1.23,0.0,0.3266320105,0.9150979495282372,-0.6182644925099606
1702,1702,166,21.68181818,1,1.61,0.0,0.163551788,0.07105300856270994,-0.021252226380104808
1705,1705,39,3.636363636000001,0,2.3,0.0,0.34585958,0.23701179402894615,0.5266932598460132
1706,1706,27,3.772727273,0,2.46,0.0,0.327103576,0.6094670217111949,1.6176467536151786
1837,1837,0,0.0,0,9.51,0.0,0.0,0.05776894693638913,0.0016754973471005954
1860,1860,185,78.59090909,1,1.74,0.0,0.8306048709999999,0.018314160524477024,0.1867674758574141
1861,1861,267,75.04545455,2,1.49,0.0,0.427256377,-0.7749564121210009,-0.06840829008456026
1862,1862,106,21.31818182,1,1.8,0.0,0.49113259,-0.8042312283532986,-0.07052513599633567
1863,1863,101,32.13636364,1,2.0,0.0,0.619307657,-0.8481566025389693,-0.07370135572151904
1864,1864,43,8.136363636,0,1.47,0.0,0.4623065465,-0.12296496852978893,-0.02126314625421431
